CSDUID,CSD,Period,IndicatorSummaryDescription,Emission Type,UnitOfMeasure,OriginalValue
4808011,Red Deer,2017,CO2 Eq. Emissions,CH4 Equivalent,t,83462.575
4808011,Red Deer,2018,CO2 Eq. Emissions,CH4 Equivalent,t,84438.625
4808011,Red Deer,2019,CO2 Eq. Emissions,CH4 Equivalent,t,79088.0
4808011,Red Deer,2020,CO2 Eq. Emissions,CH4 Equivalent,t,81672.8675
4808011,Red Deer,2021,CO2 Eq. Emissions,CH4 Equivalent,t,81087.325
4805026,Drumheller,2017,CO2 Eq. Emissions,CH4 Equivalent,t,14985.5
4805026,Drumheller,2018,CO2 Eq. Emissions,CH4 Equivalent,t,16050.18975
4805026,Drumheller,2019,CO2 Eq. Emissions,CH4 Equivalent,t,20953.75
4805026,Drumheller,2020,CO2 Eq. Emissions,CH4 Equivalent,t,23342.7675
4805026,Drumheller,2021,CO2 Eq. Emissions,CH4 Equivalent,t,23447.3875
4805031,Starland County,2017,CO2 Eq. Emissions,CH4 Equivalent,t,8608.4
4805031,Starland County,2018,CO2 Eq. Emissions,CH4 Equivalent,t,265.5
4805031,Starland County,2019,CO2 Eq. Emissions,CH4 Equivalent,t,3304.30233
4805031,Starland County,2020,CO2 Eq. Emissions,CH4 Equivalent,t,1804.2589
4805031,Starland County,2021,CO2 Eq. Emissions,CH4 Equivalent,t,6107.934
4805041,Kneehill County,2009,CO2 Eq. Emissions,CH4 Equivalent,t,424.475
4805041,Kneehill County,2017,CO2 Eq. Emissions,CH4 Equivalent,t,50992.30935
4805041,Kneehill County,2018,CO2 Eq. Emissions,CH4 Equivalent,t,25183.943
4805041,Kneehill County,2019,CO2 Eq. Emissions,CH4 Equivalent,t,29614.86695
4805041,Kneehill County,2020,CO2 Eq. Emissions,CH4 Equivalent,t,45337.28338
4805041,Kneehill County,2021,CO2 Eq. Emissions,CH4 Equivalent,t,32116.16405
4802001,Warner County No. 5,2009,CO2 Eq. Emissions,CH4 Equivalent,t,68124.99903
4802001,Warner County No. 5,2010,CO2 Eq. Emissions,CH4 Equivalent,t,84226.0
4802001,Warner County No. 5,2011,CO2 Eq. Emissions,CH4 Equivalent,t,75225.75
4802001,Warner County No. 5,2012,CO2 Eq. Emissions,CH4 Equivalent,t,65200.75
4802001,Warner County No. 5,2013,CO2 Eq. Emissions,CH4 Equivalent,t,78475.75
4802001,Warner County No. 5,2014,CO2 Eq. Emissions,CH4 Equivalent,t,66750.75
4802001,Warner County No. 5,2015,CO2 Eq. Emissions,CH4 Equivalent,t,67850.75
4802001,Warner County No. 5,2016,CO2 Eq. Emissions,CH4 Equivalent,t,69600.75
4802001,Warner County No. 5,2017,CO2 Eq. Emissions,CH4 Equivalent,t,92409.825
4802001,Warner County No. 5,2018,CO2 Eq. Emissions,CH4 Equivalent,t,96670.31
4802001,Warner County No. 5,2019,CO2 Eq. Emissions,CH4 Equivalent,t,90237.345
4802001,Warner County No. 5,2020,CO2 Eq. Emissions,CH4 Equivalent,t,91147.5325
4802001,Warner County No. 5,2021,CO2 Eq. Emissions,CH4 Equivalent,t,96973.05575
4807049,Wainwright No. 61,2017,CO2 Eq. Emissions,CH4 Equivalent,t,51708.2325
4807049,Wainwright No. 61,2018,CO2 Eq. Emissions,CH4 Equivalent,t,40160.95125
4807049,Wainwright No. 61,2019,CO2 Eq. Emissions,CH4 Equivalent,t,74814.96725
4807049,Wainwright No. 61,2020,CO2 Eq. Emissions,CH4 Equivalent,t,49364.675
4807049,Wainwright No. 61,2021,CO2 Eq. Emissions,CH4 Equivalent,t,10985.1965
4807054,Wainwright,2018,CO2 Eq. Emissions,CH4 Equivalent,t,3.75
4807054,Wainwright,2019,CO2 Eq. Emissions,CH4 Equivalent,t,4.625
4807054,Wainwright,2020,CO2 Eq. Emissions,CH4 Equivalent,t,3.5305
4807054,Wainwright,2021,CO2 Eq. Emissions,CH4 Equivalent,t,3.77595
4808001,Red Deer County,2009,CO2 Eq. Emissions,CH4 Equivalent,t,6774.32003
4808001,Red Deer County,2010,CO2 Eq. Emissions,CH4 Equivalent,t,3697.08253
4808001,Red Deer County,2011,CO2 Eq. Emissions,CH4 Equivalent,t,3786.67253
4808001,Red Deer County,2012,CO2 Eq. Emissions,CH4 Equivalent,t,3455.775
4808001,Red Deer County,2013,CO2 Eq. Emissions,CH4 Equivalent,t,3511.075
4808001,Red Deer County,2014,CO2 Eq. Emissions,CH4 Equivalent,t,3609.9115
4808001,Red Deer County,2015,CO2 Eq. Emissions,CH4 Equivalent,t,5254.15015
4808001,Red Deer County,2016,CO2 Eq. Emissions,CH4 Equivalent,t,5195.3999
4808001,Red Deer County,2017,CO2 Eq. Emissions,CH4 Equivalent,t,34493.46
4808001,Red Deer County,2018,CO2 Eq. Emissions,CH4 Equivalent,t,36783.39308
4808001,Red Deer County,2019,CO2 Eq. Emissions,CH4 Equivalent,t,37714.0709
4808001,Red Deer County,2020,CO2 Eq. Emissions,CH4 Equivalent,t,18704.0234
4808001,Red Deer County,2021,CO2 Eq. Emissions,CH4 Equivalent,t,17747.4298
4805012,Wheatland County,2004,CO2 Eq. Emissions,CH4 Equivalent,t,1754.0525
4805012,Wheatland County,2005,CO2 Eq. Emissions,CH4 Equivalent,t,1719.01498
4805012,Wheatland County,2006,CO2 Eq. Emissions,CH4 Equivalent,t,10802.77753
4805012,Wheatland County,2007,CO2 Eq. Emissions,CH4 Equivalent,t,15616.5375
4805012,Wheatland County,2008,CO2 Eq. Emissions,CH4 Equivalent,t,17699.33011
4805012,Wheatland County,2009,CO2 Eq. Emissions,CH4 Equivalent,t,3875.5624
4805012,Wheatland County,2010,CO2 Eq. Emissions,CH4 Equivalent,t,6956.97258
4805012,Wheatland County,2011,CO2 Eq. Emissions,CH4 Equivalent,t,28318.93673
4805012,Wheatland County,2012,CO2 Eq. Emissions,CH4 Equivalent,t,4004.70503
4805012,Wheatland County,2013,CO2 Eq. Emissions,CH4 Equivalent,t,29600.16246
4805012,Wheatland County,2014,CO2 Eq. Emissions,CH4 Equivalent,t,10363.87515
4805012,Wheatland County,2015,CO2 Eq. Emissions,CH4 Equivalent,t,6931.745
4805012,Wheatland County,2016,CO2 Eq. Emissions,CH4 Equivalent,t,6102.33908
4805012,Wheatland County,2017,CO2 Eq. Emissions,CH4 Equivalent,t,67564.33388
4805012,Wheatland County,2018,CO2 Eq. Emissions,CH4 Equivalent,t,46843.1568
4805012,Wheatland County,2019,CO2 Eq. Emissions,CH4 Equivalent,t,40854.112
4805012,Wheatland County,2020,CO2 Eq. Emissions,CH4 Equivalent,t,45440.47538
4805012,Wheatland County,2021,CO2 Eq. Emissions,CH4 Equivalent,t,32763.35375
4807019,Stettler County No. 6,2004,CO2 Eq. Emissions,CH4 Equivalent,t,14458.5
4807019,Stettler County No. 6,2005,CO2 Eq. Emissions,CH4 Equivalent,t,7319.99988
4807019,Stettler County No. 6,2006,CO2 Eq. Emissions,CH4 Equivalent,t,8229.99993
4807019,Stettler County No. 6,2007,CO2 Eq. Emissions,CH4 Equivalent,t,7072.99995
4807019,Stettler County No. 6,2008,CO2 Eq. Emissions,CH4 Equivalent,t,10553.01233
4807019,Stettler County No. 6,2009,CO2 Eq. Emissions,CH4 Equivalent,t,21202.15773
4807019,Stettler County No. 6,2010,CO2 Eq. Emissions,CH4 Equivalent,t,19733.35053
4807019,Stettler County No. 6,2011,CO2 Eq. Emissions,CH4 Equivalent,t,13809.46278
4807019,Stettler County No. 6,2012,CO2 Eq. Emissions,CH4 Equivalent,t,12309.60968
4807019,Stettler County No. 6,2013,CO2 Eq. Emissions,CH4 Equivalent,t,10362.33015
4807019,Stettler County No. 6,2014,CO2 Eq. Emissions,CH4 Equivalent,t,11748.53522
4807019,Stettler County No. 6,2015,CO2 Eq. Emissions,CH4 Equivalent,t,10076.7474
4807019,Stettler County No. 6,2016,CO2 Eq. Emissions,CH4 Equivalent,t,7785.85755
4807019,Stettler County No. 6,2017,CO2 Eq. Emissions,CH4 Equivalent,t,21591.89383
4807019,Stettler County No. 6,2018,CO2 Eq. Emissions,CH4 Equivalent,t,8101.0309
4807019,Stettler County No. 6,2019,CO2 Eq. Emissions,CH4 Equivalent,t,8049.69923
4807019,Stettler County No. 6,2020,CO2 Eq. Emissions,CH4 Equivalent,t,9869.25118
4807019,Stettler County No. 6,2021,CO2 Eq. Emissions,CH4 Equivalent,t,7634.2552
4808022,Lacombe County,2004,CO2 Eq. Emissions,CH4 Equivalent,t,6310.7501
4808022,Lacombe County,2005,CO2 Eq. Emissions,CH4 Equivalent,t,5975.72988
4808022,Lacombe County,2006,CO2 Eq. Emissions,CH4 Equivalent,t,4985.51498
4808022,Lacombe County,2007,CO2 Eq. Emissions,CH4 Equivalent,t,4833.0076
4808022,Lacombe County,2008,CO2 Eq. Emissions,CH4 Equivalent,t,5039.0099
4808022,Lacombe County,2009,CO2 Eq. Emissions,CH4 Equivalent,t,32084.21888
4808022,Lacombe County,2010,CO2 Eq. Emissions,CH4 Equivalent,t,16712.78023
4808022,Lacombe County,2011,CO2 Eq. Emissions,CH4 Equivalent,t,11996.8749
4808022,Lacombe County,2012,CO2 Eq. Emissions,CH4 Equivalent,t,8877.6659
4808022,Lacombe County,2013,CO2 Eq. Emissions,CH4 Equivalent,t,6923.07245
4808022,Lacombe County,2014,CO2 Eq. Emissions,CH4 Equivalent,t,8221.96753
4808022,Lacombe County,2015,CO2 Eq. Emissions,CH4 Equivalent,t,9028.02763
4808022,Lacombe County,2016,CO2 Eq. Emissions,CH4 Equivalent,t,12857.40463
4808022,Lacombe County,2017,CO2 Eq. Emissions,CH4 Equivalent,t,53453.32222
4808022,Lacombe County,2018,CO2 Eq. Emissions,CH4 Equivalent,t,24967.0256
4808022,Lacombe County,2019,CO2 Eq. Emissions,CH4 Equivalent,t,23505.98418
4808022,Lacombe County,2020,CO2 Eq. Emissions,CH4 Equivalent,t,26000.51813
4808022,Lacombe County,2021,CO2 Eq. Emissions,CH4 Equivalent,t,29373.01565
4808008,Innisfail,2017,CO2 Eq. Emissions,CH4 Equivalent,t,12.4944
4808008,Innisfail,2018,CO2 Eq. Emissions,CH4 Equivalent,t,12.86145
4808008,Innisfail,2019,CO2 Eq. Emissions,CH4 Equivalent,t,11.92993
4808008,Innisfail,2020,CO2 Eq. Emissions,CH4 Equivalent,t,12.24743
4808008,Innisfail,2021,CO2 Eq. Emissions,CH4 Equivalent,t,11.99963
4807031,Flagstaff County,2004,CO2 Eq. Emissions,CH4 Equivalent,t,1203.69998
4807031,Flagstaff County,2005,CO2 Eq. Emissions,CH4 Equivalent,t,1278.50248
4807031,Flagstaff County,2006,CO2 Eq. Emissions,CH4 Equivalent,t,1283.65745
4807031,Flagstaff County,2007,CO2 Eq. Emissions,CH4 Equivalent,t,1258.82503
4807031,Flagstaff County,2008,CO2 Eq. Emissions,CH4 Equivalent,t,1271.7575
4807031,Flagstaff County,2009,CO2 Eq. Emissions,CH4 Equivalent,t,1324.99
4807031,Flagstaff County,2010,CO2 Eq. Emissions,CH4 Equivalent,t,1280.45998
4807031,Flagstaff County,2011,CO2 Eq. Emissions,CH4 Equivalent,t,1530.49243
4807031,Flagstaff County,2012,CO2 Eq. Emissions,CH4 Equivalent,t,1429.68388
4807031,Flagstaff County,2013,CO2 Eq. Emissions,CH4 Equivalent,t,1208.33748
4807031,Flagstaff County,2014,CO2 Eq. Emissions,CH4 Equivalent,t,1187.26005
4807031,Flagstaff County,2015,CO2 Eq. Emissions,CH4 Equivalent,t,803.72003
4807031,Flagstaff County,2016,CO2 Eq. Emissions,CH4 Equivalent,t,580.1975
4807031,Flagstaff County,2017,CO2 Eq. Emissions,CH4 Equivalent,t,27542.455
4807031,Flagstaff County,2018,CO2 Eq. Emissions,CH4 Equivalent,t,21217.71118
4807031,Flagstaff County,2019,CO2 Eq. Emissions,CH4 Equivalent,t,20618.9946
4807031,Flagstaff County,2020,CO2 Eq. Emissions,CH4 Equivalent,t,15355.29635
4807031,Flagstaff County,2021,CO2 Eq. Emissions,CH4 Equivalent,t,21533.85515
4811016,Leduc,2017,CO2 Eq. Emissions,CH4 Equivalent,t,28617.25
4811016,Leduc,2018,CO2 Eq. Emissions,CH4 Equivalent,t,28681.5
4811016,Leduc,2019,CO2 Eq. Emissions,CH4 Equivalent,t,22773.0
4811016,Leduc,2020,CO2 Eq. Emissions,CH4 Equivalent,t,24162.05
4811016,Leduc,2021,CO2 Eq. Emissions,CH4 Equivalent,t,41544.0
4807011,Paintearth County No. 18,2015,CO2 Eq. Emissions,CH4 Equivalent,t,2516.98748
4807011,Paintearth County No. 18,2016,CO2 Eq. Emissions,CH4 Equivalent,t,59426.37098
4807011,Paintearth County No. 18,2017,CO2 Eq. Emissions,CH4 Equivalent,t,67477.1699
4807011,Paintearth County No. 18,2018,CO2 Eq. Emissions,CH4 Equivalent,t,77631.3752
4807011,Paintearth County No. 18,2019,CO2 Eq. Emissions,CH4 Equivalent,t,55555.25468
4807011,Paintearth County No. 18,2020,CO2 Eq. Emissions,CH4 Equivalent,t,57621.43211
4807011,Paintearth County No. 18,2021,CO2 Eq. Emissions,CH4 Equivalent,t,60695.5275
4810001,Camrose County,2017,CO2 Eq. Emissions,CH4 Equivalent,t,34279.65
4810001,Camrose County,2018,CO2 Eq. Emissions,CH4 Equivalent,t,34344.43898
4810001,Camrose County,2019,CO2 Eq. Emissions,CH4 Equivalent,t,40604.299
4810001,Camrose County,2020,CO2 Eq. Emissions,CH4 Equivalent,t,44489.32955
4810001,Camrose County,2021,CO2 Eq. Emissions,CH4 Equivalent,t,41224.11983
4811056,Fort Saskatchewan,2004,CO2 Eq. Emissions,CH4 Equivalent,t,6729.37738
4811056,Fort Saskatchewan,2005,CO2 Eq. Emissions,CH4 Equivalent,t,5652.48003
4811056,Fort Saskatchewan,2006,CO2 Eq. Emissions,CH4 Equivalent,t,5227.8375
4811056,Fort Saskatchewan,2007,CO2 Eq. Emissions,CH4 Equivalent,t,9944.4026
4811056,Fort Saskatchewan,2008,CO2 Eq. Emissions,CH4 Equivalent,t,9541.3425
4811056,Fort Saskatchewan,2009,CO2 Eq. Emissions,CH4 Equivalent,t,14442.83763
4811056,Fort Saskatchewan,2010,CO2 Eq. Emissions,CH4 Equivalent,t,12153.77723
4811056,Fort Saskatchewan,2011,CO2 Eq. Emissions,CH4 Equivalent,t,29261.44988
4811056,Fort Saskatchewan,2012,CO2 Eq. Emissions,CH4 Equivalent,t,31896.88013
4811056,Fort Saskatchewan,2013,CO2 Eq. Emissions,CH4 Equivalent,t,39113.52489
4811056,Fort Saskatchewan,2014,CO2 Eq. Emissions,CH4 Equivalent,t,40659.68928
4811056,Fort Saskatchewan,2015,CO2 Eq. Emissions,CH4 Equivalent,t,25421.50015
4811056,Fort Saskatchewan,2016,CO2 Eq. Emissions,CH4 Equivalent,t,28108.51973
4811056,Fort Saskatchewan,2017,CO2 Eq. Emissions,CH4 Equivalent,t,27533.2575
4811056,Fort Saskatchewan,2018,CO2 Eq. Emissions,CH4 Equivalent,t,19712.02173
4811056,Fort Saskatchewan,2019,CO2 Eq. Emissions,CH4 Equivalent,t,17423.3366
4811056,Fort Saskatchewan,2020,CO2 Eq. Emissions,CH4 Equivalent,t,26413.21155
4811056,Fort Saskatchewan,2021,CO2 Eq. Emissions,CH4 Equivalent,t,18574.66785
4811061,Edmonton,2004,CO2 Eq. Emissions,CH4 Equivalent,t,450124.2777
4811061,Edmonton,2005,CO2 Eq. Emissions,CH4 Equivalent,t,790326.3446
4811061,Edmonton,2006,CO2 Eq. Emissions,CH4 Equivalent,t,436076.7811
4811061,Edmonton,2007,CO2 Eq. Emissions,CH4 Equivalent,t,393747.6269
4811061,Edmonton,2008,CO2 Eq. Emissions,CH4 Equivalent,t,346208.622
4811061,Edmonton,2009,CO2 Eq. Emissions,CH4 Equivalent,t,429975.7817
4811061,Edmonton,2010,CO2 Eq. Emissions,CH4 Equivalent,t,439167.2979
4811061,Edmonton,2011,CO2 Eq. Emissions,CH4 Equivalent,t,394459.1103
4811061,Edmonton,2012,CO2 Eq. Emissions,CH4 Equivalent,t,342998.2825
4811061,Edmonton,2013,CO2 Eq. Emissions,CH4 Equivalent,t,353368.4503
4811061,Edmonton,2014,CO2 Eq. Emissions,CH4 Equivalent,t,327960.7996
4811061,Edmonton,2015,CO2 Eq. Emissions,CH4 Equivalent,t,255667.312
4811061,Edmonton,2016,CO2 Eq. Emissions,CH4 Equivalent,t,335283.4401
4811061,Edmonton,2017,CO2 Eq. Emissions,CH4 Equivalent,t,318921.9053
4811061,Edmonton,2018,CO2 Eq. Emissions,CH4 Equivalent,t,260596.8382
4811061,Edmonton,2019,CO2 Eq. Emissions,CH4 Equivalent,t,302292.5402
4811061,Edmonton,2020,CO2 Eq. Emissions,CH4 Equivalent,t,257165.0508
4811061,Edmonton,2021,CO2 Eq. Emissions,CH4 Equivalent,t,276715.2747
4802012,Lethbridge,2017,CO2 Eq. Emissions,CH4 Equivalent,t,14.65
4802012,Lethbridge,2018,CO2 Eq. Emissions,CH4 Equivalent,t,26.16998
4802012,Lethbridge,2019,CO2 Eq. Emissions,CH4 Equivalent,t,30.77628
4802012,Lethbridge,2020,CO2 Eq. Emissions,CH4 Equivalent,t,31.8475
4802012,Lethbridge,2021,CO2 Eq. Emissions,CH4 Equivalent,t,23.86
4803001,Cardston County,2017,CO2 Eq. Emissions,CH4 Equivalent,t,1421.8
4803001,Cardston County,2018,CO2 Eq. Emissions,CH4 Equivalent,t,1168.425
4803001,Cardston County,2019,CO2 Eq. Emissions,CH4 Equivalent,t,0.01538
4803001,Cardston County,2020,CO2 Eq. Emissions,CH4 Equivalent,t,0.02548
4803001,Cardston County,2021,CO2 Eq. Emissions,CH4 Equivalent,t,0.0199
4809015,Rocky Mountain House,2017,CO2 Eq. Emissions,CH4 Equivalent,t,11700.25
4809015,Rocky Mountain House,2018,CO2 Eq. Emissions,CH4 Equivalent,t,13700.25
4809015,Rocky Mountain House,2019,CO2 Eq. Emissions,CH4 Equivalent,t,15035.0
4809015,Rocky Mountain House,2020,CO2 Eq. Emissions,CH4 Equivalent,t,15390.52635
4809015,Rocky Mountain House,2021,CO2 Eq. Emissions,CH4 Equivalent,t,12982.669
4802031,Newell County,2013,CO2 Eq. Emissions,CH4 Equivalent,t,184931.1463
4802031,Newell County,2014,CO2 Eq. Emissions,CH4 Equivalent,t,178103.0586
4802031,Newell County,2015,CO2 Eq. Emissions,CH4 Equivalent,t,227852.7167
4802031,Newell County,2016,CO2 Eq. Emissions,CH4 Equivalent,t,239864.2811
4802031,Newell County,2017,CO2 Eq. Emissions,CH4 Equivalent,t,271372.1925
4802031,Newell County,2018,CO2 Eq. Emissions,CH4 Equivalent,t,298439.795
4802031,Newell County,2019,CO2 Eq. Emissions,CH4 Equivalent,t,198124.5725
4802031,Newell County,2020,CO2 Eq. Emissions,CH4 Equivalent,t,171966.855
4802031,Newell County,2021,CO2 Eq. Emissions,CH4 Equivalent,t,49055.71022
4802034,Brooks,2017,CO2 Eq. Emissions,CH4 Equivalent,t,10761.5
4802034,Brooks,2018,CO2 Eq. Emissions,CH4 Equivalent,t,12902.0
4802034,Brooks,2019,CO2 Eq. Emissions,CH4 Equivalent,t,13675.25
4802034,Brooks,2020,CO2 Eq. Emissions,CH4 Equivalent,t,14036.5
4802034,Brooks,2021,CO2 Eq. Emissions,CH4 Equivalent,t,14428.5
4808034,Alix,2017,CO2 Eq. Emissions,CH4 Equivalent,t,9.4775
4808034,Alix,2018,CO2 Eq. Emissions,CH4 Equivalent,t,11.6875
4808034,Alix,2019,CO2 Eq. Emissions,CH4 Equivalent,t,11.8625
4808034,Alix,2020,CO2 Eq. Emissions,CH4 Equivalent,t,10.545
4808034,Alix,2021,CO2 Eq. Emissions,CH4 Equivalent,t,10.82
4808038,Ponoka County,2004,CO2 Eq. Emissions,CH4 Equivalent,t,7100.0
4808038,Ponoka County,2005,CO2 Eq. Emissions,CH4 Equivalent,t,8661.99988
4808038,Ponoka County,2006,CO2 Eq. Emissions,CH4 Equivalent,t,9164.50003
4808038,Ponoka County,2007,CO2 Eq. Emissions,CH4 Equivalent,t,9193.02465
4808038,Ponoka County,2008,CO2 Eq. Emissions,CH4 Equivalent,t,8152.59993
4808038,Ponoka County,2009,CO2 Eq. Emissions,CH4 Equivalent,t,7430.8001
4808038,Ponoka County,2010,CO2 Eq. Emissions,CH4 Equivalent,t,6683.89993
4808038,Ponoka County,2011,CO2 Eq. Emissions,CH4 Equivalent,t,6615.2749
4808038,Ponoka County,2012,CO2 Eq. Emissions,CH4 Equivalent,t,6442.00008
4808038,Ponoka County,2013,CO2 Eq. Emissions,CH4 Equivalent,t,6047.90505
4808038,Ponoka County,2014,CO2 Eq. Emissions,CH4 Equivalent,t,6248.37503
4808038,Ponoka County,2015,CO2 Eq. Emissions,CH4 Equivalent,t,7404.8748
4808038,Ponoka County,2016,CO2 Eq. Emissions,CH4 Equivalent,t,7893.97508
4808038,Ponoka County,2017,CO2 Eq. Emissions,CH4 Equivalent,t,41261.30495
4808038,Ponoka County,2018,CO2 Eq. Emissions,CH4 Equivalent,t,30108.68233
4808038,Ponoka County,2019,CO2 Eq. Emissions,CH4 Equivalent,t,34593.6025
4808038,Ponoka County,2020,CO2 Eq. Emissions,CH4 Equivalent,t,33557.58275
4808038,Ponoka County,2021,CO2 Eq. Emissions,CH4 Equivalent,t,23764.0227
4812037,Lac la Biche County,2008,CO2 Eq. Emissions,CH4 Equivalent,t,2621.96493
4812037,Lac la Biche County,2009,CO2 Eq. Emissions,CH4 Equivalent,t,1615.42498
4812037,Lac la Biche County,2010,CO2 Eq. Emissions,CH4 Equivalent,t,5064.23248
4812037,Lac la Biche County,2011,CO2 Eq. Emissions,CH4 Equivalent,t,12359.30245
4812037,Lac la Biche County,2012,CO2 Eq. Emissions,CH4 Equivalent,t,20650.26811
4812037,Lac la Biche County,2013,CO2 Eq. Emissions,CH4 Equivalent,t,25316.63443
4812037,Lac la Biche County,2014,CO2 Eq. Emissions,CH4 Equivalent,t,27234.87073
4812037,Lac la Biche County,2015,CO2 Eq. Emissions,CH4 Equivalent,t,31863.37258
4812037,Lac la Biche County,2016,CO2 Eq. Emissions,CH4 Equivalent,t,24915.84713
4812037,Lac la Biche County,2017,CO2 Eq. Emissions,CH4 Equivalent,t,33802.366
4812037,Lac la Biche County,2018,CO2 Eq. Emissions,CH4 Equivalent,t,24844.2025
4812037,Lac la Biche County,2019,CO2 Eq. Emissions,CH4 Equivalent,t,15771.16782
4812037,Lac la Biche County,2020,CO2 Eq. Emissions,CH4 Equivalent,t,16815.544
4812037,Lac la Biche County,2021,CO2 Eq. Emissions,CH4 Equivalent,t,21673.35153
4809002,Clearwater County,2004,CO2 Eq. Emissions,CH4 Equivalent,t,124127.5
4809002,Clearwater County,2005,CO2 Eq. Emissions,CH4 Equivalent,t,111299.775
4809002,Clearwater County,2006,CO2 Eq. Emissions,CH4 Equivalent,t,98411.25005
4809002,Clearwater County,2007,CO2 Eq. Emissions,CH4 Equivalent,t,20660.24258
4809002,Clearwater County,2008,CO2 Eq. Emissions,CH4 Equivalent,t,19727.49728
4809002,Clearwater County,2009,CO2 Eq. Emissions,CH4 Equivalent,t,30885.07311
4809002,Clearwater County,2010,CO2 Eq. Emissions,CH4 Equivalent,t,26095.30278
4809002,Clearwater County,2011,CO2 Eq. Emissions,CH4 Equivalent,t,25681.15526
4809002,Clearwater County,2012,CO2 Eq. Emissions,CH4 Equivalent,t,23873.40503
4809002,Clearwater County,2013,CO2 Eq. Emissions,CH4 Equivalent,t,20866.48523
4809002,Clearwater County,2014,CO2 Eq. Emissions,CH4 Equivalent,t,17705.94203
4809002,Clearwater County,2015,CO2 Eq. Emissions,CH4 Equivalent,t,17552.38726
4809002,Clearwater County,2016,CO2 Eq. Emissions,CH4 Equivalent,t,26357.13598
4809002,Clearwater County,2017,CO2 Eq. Emissions,CH4 Equivalent,t,142129.0358
4809002,Clearwater County,2018,CO2 Eq. Emissions,CH4 Equivalent,t,144442.865
4809002,Clearwater County,2019,CO2 Eq. Emissions,CH4 Equivalent,t,159167.6793
4809002,Clearwater County,2020,CO2 Eq. Emissions,CH4 Equivalent,t,153423.1189
4809002,Clearwater County,2021,CO2 Eq. Emissions,CH4 Equivalent,t,166681.9758
4810026,Minburn County No. 27,2013,CO2 Eq. Emissions,CH4 Equivalent,t,90992.11693
4810026,Minburn County No. 27,2018,CO2 Eq. Emissions,CH4 Equivalent,t,29.6475
4810026,Minburn County No. 27,2019,CO2 Eq. Emissions,CH4 Equivalent,t,1935.095
4810026,Minburn County No. 27,2020,CO2 Eq. Emissions,CH4 Equivalent,t,1115.0825
4810026,Minburn County No. 27,2021,CO2 Eq. Emissions,CH4 Equivalent,t,810.085
4813030,Whitecourt,2009,CO2 Eq. Emissions,CH4 Equivalent,t,24.25
4813030,Whitecourt,2010,CO2 Eq. Emissions,CH4 Equivalent,t,27.5
4813030,Whitecourt,2011,CO2 Eq. Emissions,CH4 Equivalent,t,30.0
4813030,Whitecourt,2012,CO2 Eq. Emissions,CH4 Equivalent,t,30.0
4813030,Whitecourt,2013,CO2 Eq. Emissions,CH4 Equivalent,t,30.0
4813030,Whitecourt,2014,CO2 Eq. Emissions,CH4 Equivalent,t,27.5
4813030,Whitecourt,2015,CO2 Eq. Emissions,CH4 Equivalent,t,24.75
4813030,Whitecourt,2016,CO2 Eq. Emissions,CH4 Equivalent,t,30.0
4813030,Whitecourt,2017,CO2 Eq. Emissions,CH4 Equivalent,t,52.5
4813030,Whitecourt,2018,CO2 Eq. Emissions,CH4 Equivalent,t,449.35355
4813030,Whitecourt,2019,CO2 Eq. Emissions,CH4 Equivalent,t,563.74933
4813030,Whitecourt,2020,CO2 Eq. Emissions,CH4 Equivalent,t,567.2531
4813030,Whitecourt,2021,CO2 Eq. Emissions,CH4 Equivalent,t,593.82
4806019,Cochrane,2017,CO2 Eq. Emissions,CH4 Equivalent,t,109.72
4806019,Cochrane,2018,CO2 Eq. Emissions,CH4 Equivalent,t,6.325
4806019,Cochrane,2019,CO2 Eq. Emissions,CH4 Equivalent,t,6.725
4806019,Cochrane,2020,CO2 Eq. Emissions,CH4 Equivalent,t,5.5447
4806019,Cochrane,2021,CO2 Eq. Emissions,CH4 Equivalent,t,4.2658
4806021,Airdrie,2004,CO2 Eq. Emissions,CH4 Equivalent,t,1510.5
4806021,Airdrie,2005,CO2 Eq. Emissions,CH4 Equivalent,t,13141.99968
4806021,Airdrie,2006,CO2 Eq. Emissions,CH4 Equivalent,t,8096.45028
4806021,Airdrie,2007,CO2 Eq. Emissions,CH4 Equivalent,t,8151.14525
4806021,Airdrie,2008,CO2 Eq. Emissions,CH4 Equivalent,t,8070.2499
4806021,Airdrie,2009,CO2 Eq. Emissions,CH4 Equivalent,t,12698.16038
4806021,Airdrie,2010,CO2 Eq. Emissions,CH4 Equivalent,t,12684.65288
4806021,Airdrie,2011,CO2 Eq. Emissions,CH4 Equivalent,t,13566.24
4806021,Airdrie,2012,CO2 Eq. Emissions,CH4 Equivalent,t,12750.62785
4806021,Airdrie,2013,CO2 Eq. Emissions,CH4 Equivalent,t,12804.42788
4806021,Airdrie,2014,CO2 Eq. Emissions,CH4 Equivalent,t,13301.77038
4806021,Airdrie,2015,CO2 Eq. Emissions,CH4 Equivalent,t,11315.34993
4806021,Airdrie,2016,CO2 Eq. Emissions,CH4 Equivalent,t,34417.74903
4806021,Airdrie,2017,CO2 Eq. Emissions,CH4 Equivalent,t,32445.725
4806021,Airdrie,2018,CO2 Eq. Emissions,CH4 Equivalent,t,41680.8
4806021,Airdrie,2019,CO2 Eq. Emissions,CH4 Equivalent,t,37626.72
